Animal,Weight
Siberian five-toed jerboa,0
Botta's pocket gopher,0
Desert kangaroo rat,0
Australian swamp rat,0
Mulgara,0
Savanna gerbil,0
Sugar glider,0
Ermine,0
Nile kusu,0
Leschenault's rousette,0
Congo rope squirrel,0
White-tailed mouse,0
Shorttailed opossum,0
White-tailed antelope squirrel,0
Golden hamster,0
Northern pocket gopher,0
Long-haired rousette,0
Central rock rat,0
Persian jird,0
Tuco-tuco,0
Indian palm squirrel,0
Mohave ground squirrel,0
North American pika,0
Libyan jird,0
Coruro,0
Eastern chipmunk,0
"European mole, common mole",0
Ansell's mole-rat,0
Eastern aquatic mole,0
Short bare-tailed opossum,0
Splendid climbing mouse,0
Long-eared chipmunk,0
Siberian chipmunk,0
Arctic lemming,0
Garden dormouse,0
Greater spear-nosed bat,0
Gambian epauletted fruit bat,0
Wahlberg's epauletted fruit bat,0
Acacia rat,0
Greater short-nosed fruit bat,0
Red-tailed chipmunk,0
Robinson's mouse opossum,0
Cape gerbil,0
Western pocket gopher,0
Malabar spiny dormouse,0
Townsend's chipmunk,0
Slender squirrel,0
Bunny or coney rat,0
Colorado chipmunk,0
Smoky mouse,0
Speckled marsupial mouse,0
Norway lemming,0
Sand-colored rat,0
Greater bulldog bat,0
Low's squirrel,0
Collared lemming,0
Bushy-tailed jird,0
Thicket rat,0
Heermann's kangaroo rat,0
Gray mouse lemur,0
Southern flying squirrel,0
Great fruit-eating bat,0
Australian native mouse,0
Lesser short-nosed fruit bat,0
Heath mouse,0
Cliff chipmunk,0
Hairy-tailed mole,0
Cretan spiny mouse,0
Agile kangaroo rat,0
Long-tailed mouse,0
Woodland mouse,0
Lesser tree shrew,0
Five-toed jerboa,0
African water rat,0
Pyrenean desman,0
Rufous elephant shrew,0
Tundra vole,0
Ord's kangaroo rat,0
Long-tailed tree mouse,0
Brown mouse lemur,0
South African broad-headed mouse,0
Star-nosed mole,0
Julia Creek dunnart,0
Richardson's collared lemming,0
Cape short-eared gerbil,0
Lesser Egyptian jerboa,0
Golden spiny mouse,0
Cinnamon antechinus,0
Mid-day jird,0
Marsupial mole,0
Mongolian jird,0
Long-eared elephant shrew,0
Vole,0
Mitchell's hopping mouse,0
Slender gerbil,0
Feather-tailed possum,0
Four-striped grass mouse,0
Darwin's leaf-eared mouse,0
Water vole,0
Mexican mouse opossum,0
Pale gerbil,0
Flat-headed vole,0
Talazaci's long-tailed tenrec,0
Common rock rat,0
Vesper rat,0
Cape elephant shrew,0
